INFO  - 2015-03-27 10:10:10.542; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441540, 2441541, 2441542, 2441543, 2441544, 2441545, 2441546, 2441547, 2441548, 2441549, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:10.595; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441642, 2441643, 2441644, 2441645, 2441646, 2441648, 244165, 2441650, 2441651, 2441652, ... (100 adds)]} 0 49
INFO  - 2015-03-27 10:10:10.645; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441748, 2441749, 244175, 2441750, 2441751, 2441752, 2441753, 2441754, 2441755, 2441756, ... (100 adds)]} 0 47
INFO  - 2015-03-27 10:10:10.693; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441847, 2441848, 2441849, 244185, 2441850, 2441852, 2441853, 2441854, 2441855, 2441856, ... (100 adds)]} 0 44
INFO  - 2015-03-27 10:10:10.745; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441945, 2441946, 2441947, 2441948, 2441949, 244195, 2441950, 2441951, 2441952, 2441953, ... (100 adds)]} 0 43
INFO  - 2015-03-27 10:10:10.805; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442049, 244205, 2442050, 2442051, 2442052, 2442053, 2442054, 2442055, 2442056, 2442057, ... (100 adds)]} 0 47
INFO  - 2015-03-27 10:10:10.871; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442142, 2442145, 2442146, 2442147, 2442148, 2442149, 244215, 2442150, 2442151, 2442152, ... (100 adds)]} 0 58
INFO  - 2015-03-27 10:10:10.923; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442248, 2442249, 244225, 2442250, 2442251, 2442252, 2442253, 2442254, 2442255, 2442256, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:10.974; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442342, 2442343, 2442344, 2442345, 2442346, 2442347, 2442348, 2442349, 244235, 2442350, ... (100 adds)]} 0 49
INFO  - 2015-03-27 10:10:11.026; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442434, 2442435, 2442436, 2442437, 2442438, 2442439, 244244, 2442440, 2442441, 2442442, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:11.075; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442538, 2442539, 244254, 2442540, 2442542, 2442543, 2442545, 2442547, 2442548, 2442549, ... (100 adds)]} 0 47
INFO  - 2015-03-27 10:10:11.119; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442643, 2442644, 2442647, 2442649, 244265, 2442650, 2442651, 2442652, 2442653, 2442654, ... (100 adds)]} 0 42
INFO  - 2015-03-27 10:10:11.199; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442752, 2442753, 2442755, 2442756, 2442757, 2442758, 2442759, 244276, 2442760, 2442761, ... (100 adds)]} 0 67
INFO  - 2015-03-27 10:10:11.253; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442862, 2442863, 2442864, 2442865, 2442866, 2442867, 244287, 2442870, 2442871, 2442873, ... (100 adds)]} 0 52
INFO  - 2015-03-27 10:10:11.298; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2442992, 2442993, 2442994, 2442995, 2442996, 2442998, 2442999, 2443, 24430, 244300, ... (100 adds)]} 0 42
INFO  - 2015-03-27 10:10:11.346; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443089, 244309, 2443090, 2443091, 2443092, 2443093, 2443095, 2443096, 2443098, 2443099, ... (100 adds)]} 0 44
INFO  - 2015-03-27 10:10:11.411; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443185, 2443186, 2443187, 2443188, 244319, 2443190, 2443191, 2443192, 2443194, 2443196, ... (100 adds)]} 0 48
INFO  - 2015-03-27 10:10:11.505; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443306, 2443307, 2443308, 2443309, 244331, 2443310, 2443311, 2443312, 2443313, 2443314, ... (100 adds)]} 0 61
INFO  - 2015-03-27 10:10:11.564; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443411, 2443412, 2443413, 2443415, 2443416, 2443417, 2443418, 2443419, 244342, 2443420, ... (100 adds)]} 0 57
INFO  - 2015-03-27 10:10:11.619; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[244352, 2443520, 2443521, 2443523, 2443524, 2443525, 2443526, 2443527, 2443528, 2443529, ... (100 adds)]} 0 53
INFO  - 2015-03-27 10:10:11.679; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443621, 2443622, 2443623, 2443624, 2443625, 2443626, 2443628, 2443629, 244363, 2443630, ... (100 adds)]} 0 58
INFO  - 2015-03-27 10:10:11.733; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443718, 2443719, 244372, 2443720, 2443721, 2443722, 2443723, 2443724, 2443725, 2443726, ... (100 adds)]} 0 51
INFO  - 2015-03-27 10:10:11.781; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443814, 2443815, 2443816, 2443817, 2443818, 2443819, 244382, 2443821, 2443822, 2443823, ... (100 adds)]} 0 45
INFO  - 2015-03-27 10:10:11.833; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2443914, 2443915, 2443916, 2443917, 2443919, 244392, 2443920, 2443921, 2443922, 2443923, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:11.883; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444016, 2444017, 2444018, 2444019, 244402, 2444020, 2444021, 2444022, 2444024, 2444025, ... (100 adds)]} 0 48
INFO  - 2015-03-27 10:10:11.942; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[244412, 2444120, 2444121, 2444122, 2444123, 2444124, 2444125, 2444126, 2444127, 2444128, ... (100 adds)]} 0 57
INFO  - 2015-03-27 10:10:11.987; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444215, 2444216, 2444217, 2444218, 2444219, 244422, 2444220, 2444222, 2444223, 2444224, ... (100 adds)]} 0 43
INFO  - 2015-03-27 10:10:12.034; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444336, 2444337, 2444339, 244434, 2444341, 2444342, 2444344, 2444345, 2444346, 2444347, ... (100 adds)]} 0 45
INFO  - 2015-03-27 10:10:12.084; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444437, 2444438, 2444439, 244444, 2444440, 2444441, 2444442, 2444443, 2444444, 2444445, ... (100 adds)]} 0 48
INFO  - 2015-03-27 10:10:12.132; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444534, 2444535, 2444536, 2444537, 2444538, 2444539, 244454, 2444540, 2444541, 2444542, ... (100 adds)]} 0 46
INFO  - 2015-03-27 10:10:12.186; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444630, 2444631, 2444632, 2444633, 2444634, 2444635, 2444636, 2444637, 2444638, 2444639, ... (100 adds)]} 0 47
INFO  - 2015-03-27 10:10:12.241; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444736, 2444737, 2444738, 2444739, 244474, 2444740, 2444741, 2444742, 2444743, 2444745, ... (100 adds)]} 0 52
INFO  - 2015-03-27 10:10:12.297; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444831, 2444832, 2444834, 2444835, 2444836, 2444837, 2444838, 2444839, 244484, 2444840, ... (100 adds)]} 0 45
INFO  - 2015-03-27 10:10:12.372; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2444928, 2444929, 244493, 2444930, 2444931, 2444932, 2444933, 2444934, 2444935, 2444936, ... (100 adds)]} 0 67
INFO  - 2015-03-27 10:10:12.424; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445029, 244503, 2445030, 2445031, 2445034, 2445035, 2445037, 2445039, 244504, 2445041, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:12.480; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445149, 244515, 2445153, 2445154, 2445156, 2445157, 2445158, 2445159, 244516, 2445160, ... (100 adds)]} 0 54
INFO  - 2015-03-27 10:10:12.532; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445263, 2445264, 2445266, 2445268, 2445269, 244527, 2445270, 2445271, 2445272, 2445273, ... (100 adds)]} 0 49
INFO  - 2015-03-27 10:10:12.591; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445374, 2445375, 2445376, 2445377, 2445379, 244538, 2445380, 2445382, 2445383, 2445384, ... (100 adds)]} 0 57
INFO  - 2015-03-27 10:10:12.644; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445480, 2445481, 2445482, 2445483, 2445484, 2445485, 2445486, 2445487, 2445488, 2445489, ... (100 adds)]} 0 51
INFO  - 2015-03-27 10:10:12.705; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445579, 244558, 2445580, 2445581, 2445582, 2445583, 2445584, 2445585, 2445586, 2445587, ... (100 adds)]} 0 59
INFO  - 2015-03-27 10:10:12.765; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2445677, 2445678, 2445679, 244568, 2445680, 2445681, 2445682, 2445683, 2445684, 2445685, ... (100 adds)]} 0 58
